Title,Description,Ingredients,Directions,Link
Raspberry and Strawberry Buckle,"I've always called this a buckle (I'm from the Midwest), but my friends here in California, say it's a 'coffee cake', but no matter the name they love it!","['½ cup butter, softened', '½ cup white sugar', '1  egg', '2 cups all-purpose flour', '2 ½ teaspoons baking powder', '¼ teaspoon salt', '¾ cup nonfat plain yogurt', '1 pint fresh strawberries', '1 pint fresh raspberries', '½ cup white sugar', '½ cup all-purpose flour', '¾ teaspoon ground cinnamon', '½ cup butter']","['Preheat oven to 375 degrees F (190 degrees C). Grease one 11x7 inch glass baking dish.', 'Cream 1/2 cup of the butter or margarine with 1/2 cup of the white sugar until light, beat in the egg. Add the baking powder and the salt. Stir in the 2 cups of flour one cup at a time alternating with the yogurt. Spread batter into the prepared pan. Arrange fruit over top of batter. Sprinkle topping over fruit.', 'To Make Topping: Mix together 1/2 cup white sugar, 1/2 cup flour, 1/2 cup butter or margarine, and the cinnamon until the mixture resembles coarse crumbs.', 'Bake at 375 degrees F (190 degrees C) for 1 hour and 15 minutes or until the cake is top is puffed and nicely browned. Allow cake to cool. You can serve it directly from the baking dish or for a more attractive presentation, I cut it up into squares and arrange them on a platter.']",https://www.allrecipes.com/recipe/7603/raspberry-and-strawberry-buckle/
Copycat Panda Express Orange Chicken,"Try this copycat recipe to make Panda Express orange chicken with its signature citrusy sweet and tangy flavor at home. It's all in the sauce which features orange juice, orange zest, brown sugar, soy sauce, vinegar, and red chili peppers.","['2 cups flour', '1/2 cup cornstarch', '2 teaspoons salt', '1/2 teaspoon white pepper', '1 large egg', '1 cup water', '2 tablespoons peanut or canola oil, divided', '2 pounds boneless skinless chicken thighs, cut into 1-inch pieces', '2 cups peanut oil, or as needed, for frying', '1 tablespoon sesame oil, divided', '1/4 teaspoon crushed red pepper', '2 teaspoons minced ginger', '2 teaspoons minced garlic', '1/4 cup brown sugar', '1/4 cup fresh orange juice', '1/4 cup white vinegar', '2 tablespoons soy sauce', '2 tablespoons cornstarch', '3 cups cooked rice, or as needed', 'sliced green onions for garnish', 'sesame seeds for garnish (optional)', '1 teaspoon orange zest']","['Whisk together flour, cornstarch, salt, and white pepper in a large bowl.\xa0 Add egg, water, and 1 1/2 tablespoons oil and stir to combine (mixture will be like a sticky batter).\xa0Add chicken pieces to batter and toss well to coat.\xa0Let chicken stand in refrigerator while oil heats.', 'Pour oil into a deep saucepan filled about 2 inches deep.\xa0Heat oil to 375 degrees C (190 degrees F).', 'Meanwhile, for the sauce heat remaining oil and 2 teaspoons sesame oil in a large skillet over medium-high heat.\xa0Add crushed red pepper, ginger, and garlic and cook, stirring constantly, until fragrant, about 30 seconds. Stir in brown sugar, orange juice, vinegar, and soy sauce and bring mixture to a boil, stirring often.', 'Combine 3 tablespoons cold water with cornstarch in a small bowl and stir until cornstarch is dissolved.\xa0Pour mixture into saucepan and stir to combine.\xa0Bring mixture to a boil and reduce to simmer, stirring constantly until sauce thickens.\xa0Turn heat off and keep warm while chicken is cooking.', 'Working in batches, add coated chicken pieces carefully to the hot oil.\xa0Oil temperature will reduce when food is added. Cook chicken at 350 degrees F (175 degrees C), stirring occasionally, until golden brown and crispy, 5 to 6 minutes. Remove chicken with a slotted spoon and drain on a wire rack set over paper towels.\xa0Bring oil temperature back up to 365 to 375 degrees F (185 to 190 degrees C) and repeat process with remaining chicken.', 'Return sauce mixture to medium heat, add more water if necessary if sauce thickens too much.\xa0Once hot, add in cooked chicken pieces and toss well to coat.\xa0Stir in remaining sesame oil and orange zest and serve over hot cooked rice.\xa0Garnish with green onions and sesame seeds if desired.']",https://www.allrecipes.com/copycat-panda-express-orange-chicken-recipe-8687732
Plant Based Cheese Sprinkles,"These plant-based cheese sprinkles came about because lately I’ve started experimenting with more plant-based food, and the most difficult part for me is giving up cheese. Most plant-based cheese is heavily processed, so I concocted these cheese-like sprinkles, which surprisingly work to cure my craving!","['1/2 cup cashews', '1/2 cup nutritional yeast', '1 teaspoon garlic powder', '1/2 teaspoon onion powder', '1/2 teaspoon salt']","['Place cashews in a food processor. Pulse until tiny crumbs form. Remove the lid and add the nutritional yeast, garlic powder, onion powder, and salt. Pulse just a few more times until combined, and mixture has a crumb texture but is not yet a powder.']",https://www.allrecipes.com/plant-based-cheese-sprinkles-recipe-8685649
Honey Roasted Beets,"These honey roasted beets combine the natural earthiness of beets with a hint of sweetness. If you like beets, you will love these. Serve them warm or at room temperature as a side, or add to your favorite vegetable salad.","['3 large beets', '1 tablespoon olive oil', '1 pinch salt', '2 tablespoons honey']","['Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper.', 'Cut stems and leaves from beets and wash well. With skin on, cut beets into chunks. Toss beets in olive oil and sprinkle with salt. Spread beets in an even layer on the prepared baking sheet.', 'Roast in the preheated oven for 30 minutes.', 'Remove from the oven and drizzle with honey. Using a wooden spoon, stir beets to coat completely with honey, then spread them back out on the pan.', 'Continue roasting until tender, about 15 minutes. Allow to cool.']",https://www.allrecipes.com/honey-roasted-beets-recipe-8687087
Spiral Cucumber Salad,"This spiral cucumber salad features a sesame oil and soy dressing, plenty of gochujang red chili flakes, and a very fun way to cut cucumbers into spirals, delicious and beautiful to look at.","['6 to 8 mini seedless cucumbers', '1/2 yellow or white onion, thinly sliced', '4 green onions, thinly sliced', '2 cloves garlic, finely minced', '2 tablespoons gochugaro (Korean red pepper flakes)', '3 tablespoons soy sauce', '2 tablespoons rice vinegar', '2 tablespoons brown sugar', '2 teaspoons sesame oil', '2 teaspoons toasted sesame seeds, plus more for garnish if desired']","['Place cucumber between two chopsticks or wooden spoon handles and make diagonal cuts 1/8 -inch apart, taking care not to cut all the way through. Flip cucumber over and make cuts straight across on the second side taking care not to cut all the way through. Repeat with remaining cucumbers and place them in a large bowl. Sprinkle cucumbers liberally with salt, being sure to get salt into the crevices. Let stand for 15 to 20 minutes.', 'Drain liquid off cucumbers and submerge cucumbers in cold water to rinse off salt. Drain well and place cucumbers on paper towels to dry.', 'Add cucumbers, onions, garlic, gochugaro, soy sauce, rice vinegar, brown sugar, sesame oil, and sesame seeds to a large bowl; toss to coat. Serve immediately or refrigerate until ready to serve. Sprinkle with more sesame seeds if desired.']",https://www.allrecipes.com/spiral-cucumber-salad-recipe-8686817
Turkey Meatballs in Maple-Bourbon Mustard Sauce,"These turkey meatballs in maple-bourbon mustard sauce are juicy, moist, and made with simple ingredients. Serve as an appetizer or main course with a side of rice or noodles.","['1/4 cup minced onion', '6 tablespoons panko bread crumbs', '1 large egg', '1 tablespoon Worcestershire sauce', '3 cloves garlic, minced', 'salt and freshly ground black pepper to taste', '1 pound ground turkey', '1/2 cup prepared yellow mustard', '1/2 cup pure maple syrup', '2 tablespoons bourbon whiskey', '1 tablespoon tomato paste', '1/4 teaspoon salt', '1/4 teaspoon freshly ground black pepper', '1 pinch cayenne, or more to taste (optional)', '1 tablespoon butter', 'chopped fresh parsley for garnish']","['Preheat the oven to 375 degrees F (190 degrees C). Line a rimmed baking sheet with aluminum foil. Place a baking rack on top, spray the rack with cooking spray, and set aside.', 'In a bowl, combine onion, panko, egg, Worcestershire, garlic, salt, and pepper. Add ground turkey, and gently mix together. Use a 1 tablespoon cookie scoop to gently shape into balls without packing too hard; place on the prepared baking rack.', 'Bake in the preheated oven until meatballs are cooked through, 15 to 20 minutes. An instant read thermometer inserted near the center should read 160 degrees F (71 degrees C).', 'Meanwhile, add mustard, maple syrup, bourbon, tomato paste, salt, pepper, and cayenne to a saucepan, and whisk until well combined. Cook over medium-low heat until sauce starts to thicken, 12 to 15 minutes. Add butter, and stir until melted.', 'Add meatballs to sauce; cook until meatballs are warmed up, 5 to 7 minutes. Transfer to a serving dish, and garnish with parsley.']",https://www.allrecipes.com/turkey-meatballs-in-maple-bourbon-mustard-sauce-recipe-8685411
Italian Marinated Grilled Cheese,"This Italian marinated grilled cheese is made by briefly marinating 3 kinds of cheese with a quick oil and vinegar dressing, and including a few things you typically find in antipasto. It’s a new and amazing twist on the classic grilled cheese sandwich.","['1 clove garlic, minced', '1 tablespoon white wine vinegar', '1 tablespoon olive oil', 'freshly ground black pepper\xa0to taste', '1 pinch chili flakes', '1/4 teaspoon dried Italian herbs', '2 ounces Monterey Jack cheese, grated', '2 ounces Cheddar cheese, grated', '1 slice provolone, quartered', '1 rounded tablespoon diced roasted red peppers', '1 rounded tablespoon diced pickled pepperoncini peppers', '1 rounded tablespoon diced green olives', '2 thick slices French bread', '3 tablespoons olive oil']","['Whisk garlic, vinegar, olive oil, black pepper, chili flakes, and herbs together in a bowl; stir in Monterey Jack, Cheddar, and provolone cheeses until combined.', 'Stir in red peppers, pepperoncini, and olives. Wrap and let marinade in fridge for 15 minutes, or up to several hours.', 'Pile the marinated cheese, beginning with the provolone, evenly onto 1 bread slice; cover with the other slice. Heat olive oil in a nonstick pan over medium heat.', 'Fry sandwich until both sides are crisp and well-browned, and cheese filling has melted, about 3 minutes per side.']",https://www.allrecipes.com/italian-marinated-grilled-cheese-recipe-8686594
Cornmeal Cookies,"These cornmeal cookies have a lovely, chewy texture, and delicious cornmeal flavor.","['1/2 cup unsalted butter, softened', '3/4 cup firmly packed light brown sugar', '2 tablespoons honey', '1 large egg yolk', '2 teaspoons vanilla extract', '1 teaspoon salt', '1/8 teaspoon ground cinnamon', '1/8 teaspoon ground nutmeg', '1 1/4 cups all-purpose flour', '3/4 cup cornmeal', '1/2 teaspoon baking powder', '1/2 teaspoon baking soda', '2 tablespoons white sugar', '1 tablespoon cornmeal']","['Beat butter, brown sugar, and honey together on medium-high speed with an electric mixer for 5 minutes. Add in egg yolk, vanilla, salt, cinnamon, and nutmeg and mix for 1 minute. Add in flour, 3/4 cup cornmeal, baking powder, and baking soda and mix until just combined.', 'Mix 2 tablespoons white sugar and 1 tablespoon corn meal together in a small bowl.', 'Scoop out 2 tablespoons of the dough and roll into a ball. Roll dough ball into the sugar-corn meal mixture until thoroughly coated. Repeat with remaining cookie dough.', 'Chill dough balls in the refrigerator for 15 minutes.', 'Preheat the oven to 350 degrees F (175 degrees C). Line 2 baking sheets with parchment paper.', 'Place dough balls 2 inches apart on the prepared baking sheets.', 'Bake in the preheated oven, one pan at a time, until cookies are crackled and begin to turn very light golden brown, 14 to 16 minutes. Cool cookies on baking sheets for 10 minutes before removing to a wire rack to cool completely.']",https://www.allrecipes.com/cornmeal-cookies-recipe-8681391
Big Batch Freezer Lemon Drop Martinis,"These big batch freezer lemon drop martinis, easily made right in a half-empty vodka bottle, are ready when you are—stash the bottle in the freezer and serve them up any time.","['1 3/4 cups vodka', '1/2 cup freshly squeezed lemon juice', '1/2 cup orange liqueur, such as Cointreau®', '1/3 cup simple syrup']","['Pour vodka, lemon juice, orange liqueur, and simple syrup into a freezer-safe 750ml bottle. Cover tightly, and tilt gently a few times to incorporate ingredients.\xa0 Place bottle in the freezer for several hours until very well chilled.', 'Shake gently before serving. Serve as desired, as in a sugar-rimmed glass.\xa0 Store any extra in the freezer until ready to use.']",https://www.allrecipes.com/big-batch-freezer-lemon-drop-martinis-recipe-8683079
Doritos Locos Taco Pie,"Try this sizzling doritos locos taco pie with layers of ground beef, refried beans, cheese, chilis, and, of course, doritos.","['2 teaspoons olive oil', '1/2 cup finely chopped onion', '1 1/2 teaspoons kosher salt, divided', '1 pound ground sirloin', '1 teaspoon chili powder', '1 teaspoon cumin', '1/8 teaspoon cayenne pepper', '1 teaspoon garlic powder', '1 teaspoon onion powder', '1/2 teaspoon freshly ground black pepper', '1/2 cup water', '1 deep dish pie crust', '2 cups shredded sharp Cheddar cheese or Mexican cheese blend, divided', '1 cup refried beans', '1 (4 ounce) can diced green chiles', '2 tablespoons hot sauce or taco sauce (such as Taco Bell Hot Sauce), plus more for topping', '2 cups crushed doritos nacho cheese tortilla chips', 'shredded lettuce, chopped tomatoes, sour cream, and green onions for optional topping']","['Preheat the oven to 375 degrees F (190 degrees C).', 'Heat oil in a large skillet over medium heat.\xa0Add onion and 1/2 teaspoon salt and cook, stirring constantly, for 2 minutes.\xa0Add ground beef in one layer, crumbling slightly with a wooden spoon to spread it into the skillet.\xa0Cook, undisturbed, until browned, about 5 minutes.', 'Stir and continue cooking until beef is no longer pink.\xa0Season with remaining salt, chili powder, cumin, cayenne, garlic powder, onion powder, and pepper and cook for 1 minute.\xa0Add water and cook for 2 minutes, scraping pan to release any browned bits. Remove from heat and set aside.', 'Spread beans over the bottom of the pie crust.\xa0 Sprinkle 1/2\xa0cup cheese evenly over the beans.\xa0Top with ground beef mixture, green chiles, hot sauce, and 3/4 cup cheese.', 'Cover with foil and bake in the preheated oven until bubbly and crust is golden brown, about 30 minutes.', 'Uncover, top with remaining cheese and crushed chips and return to the oven, Bake until bubbly and cheese has melted and chips have very lightly browned, about 5 more minutes.\xa0Let stand for 5 to 10 minutes before serving with toppings of choice and more hot sauce if desired.']",https://www.allrecipes.com/doritos-locos-taco-pie-recipe-8686462
